gender,age,height,weight,bmi,tummy,hip,breast
2,30,210,101,22.9,3,1,2
1,69,194,59,15.7,2,2,1
1,69,196,101,26.3,3,3,3
1,63,145,54,25.7,2,3,2
2,73,176,56,18.1,2,1,2
2,38,165,77,28.3,2,3,3
2,27,162,47,17.9,1,1,1
1,30,197,80,20.6,2,3,3
1,68,197,112,28.9,2,3,2
1,50,190,93,25.8,3,3,3
2,39,193,117,31.4,3,3,3
2,57,180,99,30.6,2,3,3
1,42,156,75,30.8,3,3,2
1,70,164,83,30.9,3,2,3
2,35,191,78,21.4,1,1,3
2,61,166,59,21.4,1,1,1
1,27,182,86,26.0,2,3,2
2,50,156,50,20.5,3,1,2
1,68,182,95,28.7,2,3,2
2,43,173,63,21.0,2,2,1
2,35,146,57,26.7,3,3,2
1,71,195,90,23.7,3,1,3
2,69,205,94,22.4,1,1,2
2,39,160,72,28.1,2,3,3
1,57,206,65,15.3,2,1,1
1,71,201,65,16.1,2,1,1
1,68,161,49,18.9,1,2,3
1,72,205,69,16.4,1,2,1
2,26,204,95,22.8,2,1,1
1,26,178,89,28.1,3,2,3
1,47,211,95,21.3,3,1,1
2,63,170,52,18.0,1,2,2
2,47,197,65,16.7,2,1,1
1,49,194,67,17.8,2,1,2
1,46,209,72,16.5,2,1,1
2,70,192,87,23.6,2,3,1
2,33,206,86,20.3,2,3,3
2,68,200,70,17.5,1,1,2
2,66,146,68,31.9,3,3,2
1,44,211,96,21.6,2,1,1
2,73,153,52,22.2,2,2,2
1,28,164,61,22.7,2,2,1
2,30,209,128,29.3,2,2,3
1,68,196,121,31.5,3,2,3
2,30,200,63,15.8,1,2,1
1,62,186,83,24.0,3,2,2
1,18,163,45,16.9,1,2,2
2,51,195,94,24.7,2,3,3
1,26,209,104,23.8,1,3,3
1,67,194,62,16.5,2,1,2
2,69,204,101,24.3,3,3,1
1,50,171,51,17.4,2,2,2
1,62,183,51,15.2,1,1,2
2,67,191,97,26.6,3,2,2
2,56,162,84,32.0,2,2,3
1,66,160,74,28.9,2,3,3
2,31,199,106,26.8,3,3,3
2,32,170,83,28.7,2,2,3
1,34,192,87,23.6,2,1,2
1,43,201,106,26.2,2,2,2
1,22,189,99,27.7,3,3,3
2,60,175,58,18.9,1,3,3
1,28,201,68,16.8,1,1,1
1,75,198,113,28.8,3,3,3
2,65,196,68,17.7,1,1,1
1,20,159,46,18.2,1,2,2
2,49,190,82,22.7,1,3,2
1,50,160,50,19.5,2,3,1
1,21,211,89,20.0,2,3,2
2,20,180,53,16.4,2,1,1
2,37,202,129,31.6,2,3,2
2,40,176,58,18.7,2,3,1
2,19,181,92,28.1,2,2,3
1,70,183,85,25.4,3,3,3
2,26,195,105,27.6,2,2,2
2,38,152,51,22.1,1,2,3
1,40,173,80,26.7,2,2,3
2,60,174,76,25.1,2,3,2
1,28,154,44,18.6,1,3,2
2,52,182,67,20.2,2,1,1
1,18,193,112,30.1,2,2,3
2,27,204,109,26.2,2,2,3
2,46,167,59,21.2,3,2,3
2,36,149,58,26.1,2,2,3
1,26,162,48,18.3,2,1,2
1,38,194,92,24.4,3,3,3
2,68,182,91,27.5,3,3,3
1,31,201,95,23.5,1,3,2
1,61,205,95,22.6,1,1,2
2,75,159,65,25.7,2,3,2
1,63,200,101,25.2,3,3,3
2,65,191,116,31.8,3,2,3
1,64,188,99,28.0,2,3,3
1,55,192,91,24.7,1,1,2
1,41,174,50,16.5,1,1,2
2,75,165,42,15.4,2,1,1
1,46,168,62,22.0,1,3,1
2,66,198,71,18.1,2,1,1
2,69,206,107,25.2,2,2,2
1,48,178,68,21.5,2,1,3
1,25,175,69,22.5,1,1,1
1,37,209,117,26.8,3,3,3
1,39,169,67,23.5,3,3,3
2,56,176,95,30.7,3,2,3
2,50,198,72,18.4,2,1,1
2,25,151,59,25.9,3,3,3
2,18,162,41,15.6,1,1,1
2,53,206,77,18.1,2,1,2
2,72,200,123,30.8,3,2,3
2,45,173,64,21.4,2,3,1
2,43,186,87,25.1,2,3,3
1,68,177,85,27.1,2,3,3
1,39,178,68,21.5,3,1,1
2,18,187,98,28.0,2,2,3
2,35,199,69,17.4,2,1,2
2,36,187,84,24.0,2,3,3
2,43,204,70,16.8,1,1,2
2,27,176,68,22.0,2,2,2
1,20,148,65,29.7,3,3,2
2,22,150,56,24.9,3,3,3
2,18,156,69,28.4,2,3,2
2,42,195,67,17.6,2,1,2
2,38,166,64,23.2,2,3,2
1,37,184,93,27.5,2,2,3
1,32,177,92,29.4,2,2,2
1,59,184,100,29.5,2,3,3
2,25,160,68,26.6,2,3,3
2,67,190,90,24.9,1,1,2
1,69,159,73,28.9,3,3,2
2,71,205,66,15.7,2,2,1
1,74,204,94,22.6,1,2,1
1,27,152,41,17.7,2,1,2
1,37,171,76,26.0,2,3,2
2,57,174,88,29.1,2,2,2
