name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.03333333333333333,2.1666666666666665,1.3666666666666667,0.29999999999999993,0.06666666666666667
Decision Tree Classifier,max_depth= 2,0.5666666666666667,0.9333333333333333,0.6,0.4666666666666666,0.12472191289246472
K-Nearest Neighbor,k= 1,0.5666666666666667,0.8333333333333334,0.5666666666666667,0.36666666666666664,0.12472191289246472
K-Nearest Neighbor,k= 3,0.26666666666666666,1.7333333333333334,1.0666666666666667,0.5333333333333334,0.19436506316151
K-Nearest Neighbor,k= 5,0.4,1.3,0.8333333333333334,0.5,0.14907119849998596
K-Nearest Neighbor,k= 7,0.4666666666666667,1.1333333333333333,0.7333333333333333,0.4,0.13333333333333333
K-Nearest Neighbor,k= 9,0.4666666666666667,0.8333333333333334,0.6333333333333333,0.2666666666666667,0.0816496580927726
K-Nearest Neighbor,k= 11,0.5,1.0,0.6666666666666666,0.3,0.16329931618554522
K-Nearest Neighbor,k= 13,0.4666666666666667,1.1333333333333333,0.7333333333333333,0.26666666666666666,0.13333333333333336
K-Nearest Neighbor,k= 15,0.4666666666666667,1.0333333333333334,0.7,0.26666666666666666,0.1699673171197595
K-Nearest Neighbor,k= 17,0.5666666666666667,0.9333333333333333,0.6,0.2,0.1632993161855452
K-Nearest Neighbor,k= 19,0.4666666666666667,1.4333333333333333,0.8333333333333334,0.2,0.2449489742783178
Naive Bayes Classifier,N/A,0.1,1.8,1.2,0.16666666666666666,0.0
