name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.3333333333333333,1.7066666666666668,1.0133333333333334,0.29999999999999993,0.05163977794943222
Decision Tree Classifier,max_depth= 2,0.34,1.68,1.0,0.31333333333333335,0.06531972647421809
K-Nearest Neighbor,k= 1,0.34,1.54,0.9533333333333334,0.29333333333333333,0.03265986323710903
K-Nearest Neighbor,k= 3,0.32,1.7,1.02,0.24666666666666667,0.1024152766382481
K-Nearest Neighbor,k= 5,0.34,1.7,1.0066666666666666,0.2866666666666667,0.03399346342395189
K-Nearest Neighbor,k= 7,0.35333333333333333,1.6466666666666667,0.98,0.32666666666666666,0.06110100926607787
K-Nearest Neighbor,k= 9,0.3333333333333333,1.7066666666666668,1.0133333333333334,0.30666666666666664,0.07717224601860151
K-Nearest Neighbor,k= 11,0.32666666666666666,1.7133333333333334,1.02,0.2866666666666666,0.09333333333333332
K-Nearest Neighbor,k= 13,0.34,1.68,1.0,0.2733333333333333,0.08
K-Nearest Neighbor,k= 15,0.35333333333333333,1.6266666666666667,0.9733333333333334,0.30666666666666664,0.07717224601860151
K-Nearest Neighbor,k= 17,0.36,1.6,0.96,0.32,0.08055363982396381
K-Nearest Neighbor,k= 19,0.36,1.6,0.96,0.3,0.08692269873603532
Naive Bayes Classifier,N/A,0.35333333333333333,1.6466666666666667,0.98,0.37333333333333335,0.04898979485566358
