name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.7072074922483073,0.7015123710687844,0.4290324621907233,0.7071441500246277,0.003798813627973228
Decision Tree Classifier,max_depth= 2,0.7075238878693919,0.7008163007023983,0.42858950832120485,0.7074604655632932,0.0025438706197998236
K-Nearest Neighbor,k= 1,0.5841295956463962,0.9637410618237043,0.5984939568436373,0.5631842591072365,0.00569632054686559
K-Nearest Neighbor,k= 3,0.6577864962348922,0.8040878314244131,0.4961716129848763,0.6453839315390499,0.002912394089062977
K-Nearest Neighbor,k= 5,0.6837309371638296,0.7464405492627982,0.45965955831171296,0.673732835707335,0.004004309257317054
K-Nearest Neighbor,k= 7,0.693096247547934,0.7281528823641081,0.4473201290894134,0.6881599918308179,0.006181213471547873
K-Nearest Neighbor,k= 9,0.6997405555907106,0.7152439410238562,0.4385876099474783,0.6971459120050937,0.004911034190525001
K-Nearest Neighbor,k= 11,0.7032209074226413,0.7085363538568626,0.43403151300386,0.7001202952118181,0.001287250460428671
K-Nearest Neighbor,k= 13,0.7056887932671012,0.7015123710687844,0.430044928178194,0.7018289357237535,0.0017447968310984922
K-Nearest Neighbor,k= 15,0.7080933999873442,0.697019553249383,0.4269442510915649,0.7036006871723817,0.0011633518848160873
K-Nearest Neighbor,k= 17,0.7084097956084288,0.696323482882997,0.42650129722204644,0.7044232517349501,0.0007682608444443222
K-Nearest Neighbor,k= 19,0.7087261912295134,0.6952477377713092,0.4259317851040942,0.7053090673917483,0.0006102175539293392
Naive Bayes Classifier,N/A,0.6813263304435867,0.7803581598430678,0.4725684996519648,0.6744921691981787,0.0049612265275734355
