name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.16666666666666666,2.2333333333333334,1.3,0.4666666666666666,0.2449489742783178
Decision Tree Classifier,max_depth= 2,0.43333333333333335,1.9666666666666666,1.0333333333333334,0.3,0.19436506316151
K-Nearest Neighbor,k= 1,0.3,1.7,1.0333333333333334,0.4333333333333333,0.1699673171197595
K-Nearest Neighbor,k= 3,0.23333333333333334,2.066666666666667,1.2,0.4666666666666666,0.12472191289246472
K-Nearest Neighbor,k= 5,0.3333333333333333,1.5666666666666667,0.9666666666666667,0.4666666666666666,0.2449489742783178
K-Nearest Neighbor,k= 7,0.3,1.7,1.0333333333333334,0.26666666666666666,0.1699673171197595
K-Nearest Neighbor,k= 9,0.4,1.5,0.9,0.4,0.2
K-Nearest Neighbor,k= 11,0.26666666666666666,1.4333333333333333,0.9666666666666667,0.26666666666666666,0.1699673171197595
K-Nearest Neighbor,k= 13,0.3,1.5,0.9666666666666667,0.4333333333333333,0.08164965809277261
K-Nearest Neighbor,k= 15,0.26666666666666666,1.7333333333333334,1.0666666666666667,0.39999999999999997,0.13333333333333333
K-Nearest Neighbor,k= 17,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.4333333333333333,0.13333333333333333
K-Nearest Neighbor,k= 19,0.5,1.2,0.7333333333333333,0.4333333333333333,0.13333333333333333
Naive Bayes Classifier,N/A,0.13333333333333333,2.066666666666667,1.2666666666666666,0.3666666666666666,0.22110831935702666
