name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.29999999999999993,0.19436506316151
Decision Tree Classifier,max_depth= 2,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.3333333333333333,0.10540925533894598
K-Nearest Neighbor,k= 1,0.36666666666666664,1.4333333333333333,0.9,0.3666666666666666,0.22110831935702666
K-Nearest Neighbor,k= 3,0.3,1.6,1.0,0.3666666666666666,0.22110831935702666
K-Nearest Neighbor,k= 5,0.3333333333333333,1.6666666666666667,1.0,0.4666666666666667,0.22110831935702668
K-Nearest Neighbor,k= 7,0.4,1.5,0.9,0.36666666666666664,0.19436506316151
K-Nearest Neighbor,k= 9,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.39999999999999997,0.1699673171197595
K-Nearest Neighbor,k= 11,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.39999999999999997,0.08164965809277261
K-Nearest Neighbor,k= 13,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.2333333333333333,0.13333333333333333
K-Nearest Neighbor,k= 15,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.3666666666666666,0.06666666666666668
K-Nearest Neighbor,k= 17,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.3,0.06666666666666667
K-Nearest Neighbor,k= 19,0.36666666666666664,1.5333333333333334,0.9333333333333333,0.26666666666666666,0.13333333333333333
Naive Bayes Classifier,N/A,0.36666666666666664,1.2333333333333334,0.8333333333333334,0.29999999999999993,0.1632993161855452
