name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.7070809339998735,0.7016389293172183,0.4291590204391571,0.707080838862882,0.0035945235536682324
Decision Tree Classifier,max_depth= 2,0.7075238878693919,0.7008163007023983,0.42858950832120485,0.7074604655632932,0.0025438706197998236
K-Nearest Neighbor,k= 1,0.5723596785420489,1.003986584825666,0.6197557425805227,0.5603999094982761,0.00436902111766312
K-Nearest Neighbor,k= 3,0.6568373093716383,0.8092134404859836,0.49851294058090234,0.6455102935699726,0.005173132451211057
K-Nearest Neighbor,k= 5,0.6830348667974435,0.7420110105676138,0.4586470923242422,0.675567818227688,0.0035530838744268086
K-Nearest Neighbor,k= 7,0.690691640827691,0.7341643991647155,0.4509270391697779,0.6856926585482082,0.005466545812627645
K-Nearest Neighbor,k= 9,0.6983484148579384,0.7192938049737392,0.4408656584192875,0.6944257545481121,0.0047502727216251215
K-Nearest Neighbor,k= 11,0.7014490919445675,0.7104980067075871,0.43586660760615076,0.6982221016422459,0.005791536096192017
K-Nearest Neighbor,k= 13,0.705056002024932,0.7040435360374613,0.43131051066253245,0.6984751660866815,0.00509772506937005
K-Nearest Neighbor,k= 15,0.7056255141428842,0.7025248370562551,0.43042460292349555,0.702904744933305,0.005111165062861196
K-Nearest Neighbor,k= 17,0.7061317471366196,0.7029677909257736,0.4302347655508448,0.7041067760162423,0.003628819964316775
K-Nearest Neighbor,k= 19,0.708283237359995,0.7021451623109536,0.4285262291969879,0.7038535714142696,0.003274476963493071
Naive Bayes Classifier,N/A,0.6815794469404544,0.7780168322470417,0.471619312788711,0.6734163199436166,0.00557980391211738
