name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.7095488198443334,0.7013541732582421,0.4274188445231918,0.7086627627957225,0.0036174405001471416
Decision Tree Classifier,max_depth= 2,0.7093273429095741,0.7013858128203506,0.4275770423337341,0.7088843067961499,0.001845237011339661
K-Nearest Neighbor,k= 1,0.571948364234639,0.9882617224577612,0.6147883313294944,0.5654622482587055,0.0013929861750554473
K-Nearest Neighbor,k= 3,0.6557932038220591,0.8143390495475543,0.5009175473011453,0.6486740667147431,0.004034067350468937
K-Nearest Neighbor,k= 5,0.6802189457697906,0.7554578244637095,0.4650066443080428,0.6760108176493083,0.0017932860773517561
K-Nearest Neighbor,k= 7,0.6924950958678732,0.7354932607732709,0.45016768967917486,0.6892361927003389,0.0023171430397698326
K-Nearest Neighbor,k= 9,0.6997405555907106,0.7215085743213314,0.4406758210466367,0.6963234336207059,0.0031379030788859894
K-Nearest Neighbor,k= 11,0.7019869645004113,0.7190723280389799,0.4383661330127191,0.7010060868295731,0.002296959134735264
K-Nearest Neighbor,k= 13,0.7055305954565588,0.7106878440802379,0.43320888438904004,0.7048344698561577,0.0033088274931304296
K-Nearest Neighbor,k= 15,0.7076820856799342,0.7074922483072834,0.4307093589824717,0.7064797791426628,0.0017466960950246004
K-Nearest Neighbor,k= 17,0.7083148769221034,0.7055305954565588,0.429633613870784,0.7077137310785353,0.0014746836492950824
K-Nearest Neighbor,k= 19,0.7076820856799342,0.7064481427577042,0.4303613237992786,0.7073023587133993,0.001859546248049667
Naive Bayes Classifier,N/A,0.6815478073783459,0.7818452192621654,0.4729165348351579,0.6806300746205798,0.005745159973761008
