name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.3333333333333333,1.6666666666666667,1.0,0.2647619047619047,0.11323324912534742
Decision Tree Classifier,max_depth= 2,0.3333333333333333,1.6666666666666667,1.0,0.28095238095238095,0.10579576439618145
K-Nearest Neighbor,k= 1,0.3333333333333333,1.6666666666666667,1.0,0.41904761904761906,0.12950279941641932
K-Nearest Neighbor,k= 3,0.2916666666666667,1.7916666666666667,1.0694444444444444,0.4038095238095238,0.0701407719600837
K-Nearest Neighbor,k= 5,0.3472222222222222,1.6527777777777777,0.9861111111111112,0.3190476190476191,0.09984114366459335
K-Nearest Neighbor,k= 7,0.3611111111111111,1.6388888888888888,0.9722222222222222,0.2923809523809524,0.07028287515236226
K-Nearest Neighbor,k= 9,0.3333333333333333,1.625,0.9861111111111112,0.2657142857142857,0.12145751289089417
K-Nearest Neighbor,k= 11,0.3333333333333333,1.625,0.9861111111111112,0.26380952380952377,0.18224102552175225
K-Nearest Neighbor,k= 13,0.3194444444444444,1.6805555555555556,1.0138888888888888,0.2504761904761904,0.18681238238712106
K-Nearest Neighbor,k= 15,0.3194444444444444,1.7222222222222223,1.0277777777777777,0.2771428571428571,0.18721978305065115
K-Nearest Neighbor,k= 17,0.3333333333333333,1.6666666666666667,1.0,0.32095238095238093,0.15284453293188321
K-Nearest Neighbor,k= 19,0.3333333333333333,1.6666666666666667,1.0,0.3190476190476191,0.12684913459636138
Naive Bayes Classifier,N/A,0.3333333333333333,1.6666666666666667,1.0,0.2647619047619048,0.11323324912534742
