name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,N/A,0.34,1.68,1.0,0.29333333333333333,0.08273115763993903
Decision Tree Classifier,max_depth= 2,0.34,1.68,1.0,0.2866666666666666,0.15434449203720302
K-Nearest Neighbor,k= 1,0.36,1.48,0.92,0.21333333333333332,0.02666666666666666
K-Nearest Neighbor,k= 3,0.34,1.56,0.96,0.2866666666666667,0.07483314773547883
K-Nearest Neighbor,k= 5,0.3333333333333333,1.6266666666666667,0.9866666666666667,0.26,0.06798692684790378
K-Nearest Neighbor,k= 7,0.34,1.62,0.98,0.3066666666666667,0.16110727964792765
K-Nearest Neighbor,k= 9,0.34,1.62,0.98,0.29333333333333333,0.12892719737209143
K-Nearest Neighbor,k= 11,0.3466666666666667,1.6133333333333333,0.9733333333333334,0.34,0.10624918300339485
K-Nearest Neighbor,k= 13,0.3466666666666667,1.6533333333333333,0.9866666666666667,0.3466666666666667,0.09797958971132714
K-Nearest Neighbor,k= 15,0.3466666666666667,1.6533333333333333,0.9866666666666667,0.31333333333333335,0.10456258094238748
K-Nearest Neighbor,k= 17,0.3466666666666667,1.6533333333333333,0.9866666666666667,0.31999999999999995,0.04988876515698588
K-Nearest Neighbor,k= 19,0.3466666666666667,1.6533333333333333,0.9866666666666667,0.31333333333333335,0.07180219742846006
Naive Bayes Classifier,N/A,0.34,1.68,1.0,0.31333333333333335,0.10873004286866726
