name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Support Vector Machine,LinearSVC+CrammerSinger,0.287581699,1.45751634,0.960784314,[0.32258065 0.22580645 0.32258065 0.3        0.26666667],0.037034231,120.6241324
Fit,Precision,Recall,f1-score,support,,,
0,0.35443038,0.549019608,0.430769231,51,,,
1,0.272727273,0.235294118,0.252631579,51,,,
2,0.133333333,0.078431373,0.098765432,51,,,
accuracy,0.287581699,0.287581699,0.287581699,0.287581699,,,
macro avg,0.253496995,0.287581699,0.260722081,153,,,
weighted avg,0.253496995,0.287581699,0.260722081,153,,,
Decision Tree Classifier,max_depth= 2,0.261437908,1.287581699,0.921568627,0.333333333,0.051343382,0.014056444
Fit,Precision,Recall,f1-score,support,,,
0,0.311111111,0.274509804,0.291666667,51,,,
1,0.263888889,0.37254902,0.308943089,51,,,
2,0.194444444,0.137254902,0.16091954,51,,,
accuracy,0.261437908,0.261437908,0.261437908,0.261437908,,,
macro avg,0.256481481,0.261437908,0.253843099,153,,,
weighted avg,0.256481481,0.261437908,0.253843099,153,,,
Naive Bayes Classifier,N/A,0.300653595,1.385620915,0.928104575,0.417849462,0.038214273,0.004999161
Fit,Precision,Recall,f1-score,support,,,
0,0.362318841,0.490196078,0.416666667,51,,,
1,0.266666667,0.235294118,0.25,51,,,
2,0.230769231,0.176470588,0.2,51,,,
accuracy,0.300653595,0.300653595,0.300653595,0.300653595,,,
macro avg,0.286584913,0.300653595,0.288888889,153,,,
weighted avg,0.286584913,0.300653595,0.288888889,153,,,
K-Nearest Neighbor,k= 1,0.31372549,1.31372549,0.895424837,0.365376344,0.062552187,0.09397769
Fit,Precision,Recall,f1-score,support,,,
0,0.379310345,0.431372549,0.403669725,51,,,
1,0.260869565,0.235294118,0.24742268,51,,,
2,0.285714286,0.274509804,0.28,51,,,
accuracy,0.31372549,0.31372549,0.31372549,0.31372549,,,
macro avg,0.308631399,0.31372549,0.310364135,153,,,
weighted avg,0.308631399,0.31372549,0.310364135,153,,,
K-Nearest Neighbor,k= 3,0.326797386,1.222222222,0.85620915,0.353548387,0.051838218,0.108046532
Fit,Precision,Recall,f1-score,support,,,
0,0.4375,0.549019608,0.486956522,51,,,
1,0.269230769,0.274509804,0.27184466,51,,,
2,0.216216216,0.156862745,0.181818182,51,,,
accuracy,0.326797386,0.326797386,0.326797386,0.326797386,,,
macro avg,0.307648995,0.326797386,0.313539788,153,,,
weighted avg,0.307648995,0.326797386,0.313539788,153,,,
K-Nearest Neighbor,k= 5,0.346405229,1.261437908,0.85620915,0.33311828,0.036320537,0.098001003
Fit,Precision,Recall,f1-score,support,,,
0,0.415384615,0.529411765,0.465517241,51,,,
1,0.3125,0.294117647,0.303030303,51,,,
2,0.275,0.215686275,0.241758242,51,,,
accuracy,0.346405229,0.346405229,0.346405229,0.346405229,,,
macro avg,0.334294872,0.346405229,0.336768595,153,,,
weighted avg,0.334294872,0.346405229,0.336768595,153,,,
K-Nearest Neighbor,k= 7,0.307189542,1.339869281,0.908496732,0.3,0.072820393,0.096000433
Fit,Precision,Recall,f1-score,support,,,
0,0.388059701,0.509803922,0.440677966,51,,,
1,0.238095238,0.196078431,0.215053763,51,,,
2,0.25,0.215686275,0.231578947,51,,,
accuracy,0.307189542,0.307189542,0.307189542,0.307189542,,,
macro avg,0.292051647,0.307189542,0.295770226,153,,,
weighted avg,0.292051647,0.307189542,0.295770226,153,,,
K-Nearest Neighbor,k= 9,0.320261438,1.366013072,0.908496732,0.307526882,0.046229057,0.099045515
Fit,Precision,Recall,f1-score,support,,,
0,0.376811594,0.509803922,0.433333333,51,,,
1,0.295454545,0.254901961,0.273684211,51,,,
2,0.25,0.196078431,0.21978022,51,,,
accuracy,0.320261438,0.320261438,0.320261438,0.320261438,,,
macro avg,0.307422047,0.320261438,0.308932588,153,,,
weighted avg,0.307422047,0.320261438,0.308932588,153,,,
K-Nearest Neighbor,k= 11,0.307189542,1.418300654,0.934640523,0.320215054,0.074367569,0.111999035
Fit,Precision,Recall,f1-score,support,,,
0,0.347826087,0.470588235,0.4,51,,,
1,0.295454545,0.254901961,0.273684211,51,,,
2,0.25,0.196078431,0.21978022,51,,,
accuracy,0.307189542,0.307189542,0.307189542,0.307189542,,,
macro avg,0.297760211,0.307189542,0.297821477,153,,,
weighted avg,0.297760211,0.307189542,0.297821477,153,,,
K-Nearest Neighbor,k= 13,0.287581699,1.418300654,0.947712418,0.360215054,0.098915381,0.102996111
Fit,Precision,Recall,f1-score,support,,,
0,0.323076923,0.411764706,0.362068966,51,,,
