name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Support Vector Machine,LinearSVC+CrammerSinger,0.696525644,0.648073741,0.418340818,[0.69893743 0.68321513 0.69267139 0.71158392 0.68085106],0.011162822,115.1581852
Fit,Precision,Recall,f1-score,support,,,
0,0.603411514,0.838270142,0.701710885,1688,,,
1,0.79408867,0.577777778,0.668879668,1395,,,
2,0.833524684,0.632404181,0.719167905,1148,,,
accuracy,0.696525644,0.696525644,0.696525644,0.696525644,,,
macro avg,0.743674956,0.682817367,0.696586153,4231,,,
weighted avg,0.728716301,0.696525644,0.695622753,4231,,,
Decision Tree Classifier,max_depth= 2,0.578350272,0.875443158,0.572914205,0.5703152,0.01089016,0.006863356
Fit,Precision,Recall,f1-score,support,,,
0,0.514667817,0.706753555,0.59560659,1688,,,
1,0.601128122,0.534767025,0.566009105,1395,,,
2,0.755952381,0.442508711,0.558241758,1148,,,
accuracy,0.578350272,0.578350272,0.578350272,0.578350272,,,
macro avg,0.623916107,0.561343097,0.573285818,4231,,,
weighted avg,0.608642482,0.578350272,0.5757098,4231,,,
Naive Bayes Classifier,N/A,0.555896951,0.939021508,0.609075869,0.570080188,0.016847613,0.004998684
Fit,Precision,Recall,f1-score,support,,,
0,0.488381252,0.734597156,0.586704519,1688,,,
1,0.616052061,0.407168459,0.490289167,1395,,,
2,0.706493506,0.473867596,0.56725756,1148,,,
accuracy,0.555896951,0.555896951,0.555896951,0.555896951,,,
macro avg,0.603642273,0.538544404,0.548083749,4231,,,
weighted avg,0.589656045,0.555896951,0.549638926,4231,,,
K-Nearest Neighbor,k= 11,0.662491137,0.719688017,0.464901914,0.601516408,0.00926973,0.0920012
Fit,Precision,Recall,f1-score,support,,,
0,0.574645538,0.816350711,0.674498287,1688,,,
1,0.745631068,0.550537634,0.633402062,1395,,,
2,0.818181818,0.572299652,0.673500769,1148,,,
accuracy,0.662491137,0.662491137,0.662491137,0.662491137,,,
macro avg,0.712819475,0.646395999,0.660467039,4231,,,
weighted avg,0.697099914,0.662491137,0.660677823,4231,,,
K-Nearest Neighbor,k= 13,0.663672891,0.723469629,0.465374616,0.606006738,0.013714022,0.083001137
Fit,Precision,Recall,f1-score,support,,,
0,0.574530271,0.815165877,0.674014205,1688,,,
1,0.755928854,0.548387097,0.635646032,1395,,,
2,0.809466019,0.581010453,0.676470588,1148,,,
accuracy,0.663672891,0.663672891,0.663672891,0.663672891,,,
macro avg,0.713308382,0.648187809,0.662043609,4231,,,
weighted avg,0.698084339,0.663672891,0.662030354,4231,,,
K-Nearest Neighbor,k= 15,0.662727488,0.720869771,0.465138265,0.606239795,0.004967169,0.096995831
Fit,Precision,Recall,f1-score,support,,,
0,0.572607261,0.822274882,0.675097276,1688,,,
1,0.755778894,0.5390681,0.629288703,1395,,,
2,0.81773399,0.578397213,0.67755102,1148,,,
accuracy,0.662727488,0.662727488,0.662727488,0.662727488,,,
macro avg,0.715373382,0.646580065,0.660645667,4231,,,
weighted avg,0.699511046,0.662727488,0.66065954,4231,,,
K-Nearest Neighbor,k= 17,0.66343654,0.708815883,0.460647601,0.611204055,0.008572445,0.088047266
Fit,Precision,Recall,f1-score,support,,,
0,0.574013158,0.827014218,0.677669903,1688,,,
1,0.751012146,0.531899642,0.62274444,1395,,,
2,0.824907522,0.582752613,0.683001531,1148,,,
accuracy,0.66343654,0.66343654,0.66343654,0.66343654,,,
macro avg,0.716644275,0.647222158,0.661138625,4231,,,
weighted avg,0.7004467,0.66343654,0.661007102,4231,,,
K-Nearest Neighbor,k= 19,0.66036398,0.726069487,0.468447176,0.609315593,0.012366668,0.084018469
Fit,Precision,Recall,f1-score,support,,,
0,0.568459658,0.826421801,0.673587639,1688,,,
1,0.755329949,0.533333333,0.625210084,1395,,,
2,0.827020202,0.570557491,0.675257732,1148,,,
accuracy,0.66036398,0.66036398,0.66036398,0.66036398,,,
macro avg,0.716936603,0.643437542,0.658018485,4231,,,
weighted avg,0.70022793,0.66036398,0.658090257,4231,,,
K-Nearest Neighbor,k= 21,0.659182226,0.731505554,0.471047034,0.614752387,0.010599506,0.099036932
Fit,Precision,Recall,f1-score,support,,,
0,0.568117121,0.827606635,0.673740053,1688,,,
