name,subname,n,item_id,accuracy,rmse,mae
Support Vector Machine,linear,1975,539980,0.7834008097165992,0.7449392712550608,0.39271255060728744
Support Vector Machine,poly,1975,539980,0.7834008097165992,0.7449392712550608,0.39271255060728744
Support Vector Machine,rbf,1975,539980,0.7834008097165992,0.7449392712550608,0.39271255060728744
Support Vector Machine,sigmoid,1975,539980,0.7834008097165992,0.7449392712550608,0.39271255060728744
Support Vector Machine,linear,1535,668696,0.5885416666666666,1.1145833333333333,0.6458333333333334
Support Vector Machine,poly,1535,668696,0.5546875,1.25,0.7135416666666666
Support Vector Machine,rbf,1535,668696,0.5546875,1.25,0.7135416666666666
Support Vector Machine,sigmoid,1535,668696,0.5546875,1.25,0.7135416666666666
K-Nearest Neighbor,k= 39,1975,539980,0.4835443037974684,37.01518987341772,3.6734177215189874
K-Nearest Neighbor,k= 35,1535,668696,0.3322475570032573,38.807817589576544,4.136807817589577
Naive Bayes Classifier,N/A,1975,539980,0.757085020242915,0.8502024291497976,0.44534412955465585
Naive Bayes Classifier,N/A,1535,668696,0.5859375,1.125,0.6510416666666666
Decision Tree Classifier,max_depth=2,1975,539980,0.7894736842105263,0.7206477732793523,0.3805668016194332
Decision Tree Classifier,max_depth=2,1535,668696,0.5911458333333334,1.1041666666666667,0.640625
