name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Decision Tree Classifier,max_depth= 12,0.866666667,0.333333333,0.2,0.133333333,0.163299316,0
Decision Tree Classifier,max_depth= 18,0.866666667,0.333333333,0.2,0.133333333,0.163299316,0
Support Vector Machine (LinearSVC),scheme: ovr,0.8,0.4,0.266666667,0.333333333,0.365148372,0.000999689
Decision Tree Classifier,max_depth= 16,0.866666667,0.533333333,0.266666667,0.266666667,0.249443826,0
Support Vector Machine (SVC),Decision Function Shape: ovo,0.8,0.6,0.333333333,0.2,0.163299316,0
Support Vector Machine (SVC),Decision Function Shape: ovr,0.8,0.6,0.333333333,0.2,0.163299316,0
Support Vector Machine (LinearSVC),scheme: crammer_singer,0.8,0.6,0.333333333,0.266666667,0.249443826,0.003025293
Decision Tree Classifier,max_depth= 8,0.8,0.6,0.333333333,0.2,0.163299316,0.000999928
K-Nearest Neighbor,k= 1 weight=uniform,0.8,0.6,0.333333333,0,0,0.001034498
K-Nearest Neighbor,k= 1 weight=distance,0.8,0.6,0.333333333,0,0,0
Decision Tree Classifier,max_depth= 4,0.8,0.8,0.4,0.133333333,0.163299316,0.000998735
Decision Tree Classifier,max_depth= 10,0.8,0.8,0.4,0.2,0.163299316,0
Decision Tree Classifier,max_depth= 14,0.8,0.8,0.4,0.2,0.163299316,0.001102686
Decision Tree Classifier,max_depth= 6,0.733333333,0.866666667,0.466666667,0.266666667,0.249443826,0.00103569
K-Nearest Neighbor,k= 3 weight=distance,0.733333333,0.866666667,0.466666667,0.133333333,0.163299316,0
K-Nearest Neighbor,k= 5 weight=distance,0.733333333,0.866666667,0.466666667,0.133333333,0.163299316,0.000998974
K-Nearest Neighbor,k= 7 weight=distance,0.733333333,0.866666667,0.466666667,0.2,0.163299316,0
K-Nearest Neighbor,k= 9 weight=distance,0.733333333,0.866666667,0.466666667,0.2,0.163299316,0
K-Nearest Neighbor,k= 9 weight=uniform,0.333333333,1.866666667,1.066666667,0.4,0.249443826,0
K-Nearest Neighbor,k= 3 weight=uniform,0.2,2,1.2,0.2,0.163299316,0.001000166
K-Nearest Neighbor,k= 7 weight=uniform,0.266666667,2.133333333,1.2,0.333333333,0.298142397,0
K-Nearest Neighbor,k= 5 weight=uniform,0.066666667,2.333333333,1.4,0.266666667,0.133333333,0
