name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Decision Tree Classifier,max_depth= 12,0.741935484,0.35483871,0.290322581,0.652380952,0.223657496,0
Decision Tree Classifier,max_depth= 14,0.741935484,0.35483871,0.290322581,0.585714286,0.208981983,0
Decision Tree Classifier,max_depth= 16,0.741935484,0.35483871,0.290322581,0.680952381,0.201243301,0.000963449
Decision Tree Classifier,max_depth= 18,0.741935484,0.35483871,0.290322581,0.652380952,0.223657496,0.000930071
Decision Tree Classifier,max_depth= 8,0.709677419,0.387096774,0.322580645,0.619047619,0.176896911,0
Decision Tree Classifier,max_depth= 10,0.709677419,0.387096774,0.322580645,0.685714286,0.257935287,0.001000643
Decision Tree Classifier,max_depth= 6,0.677419355,0.419354839,0.35483871,0.585714286,0.234061061,0
Decision Tree Classifier,max_depth= 4,0.612903226,0.483870968,0.419354839,0.59047619,0.213171707,0.000945807
Support Vector Machine (LinearSVC),scheme: ovr,0.612903226,0.967741935,0.580645161,0.514285714,0.280346401,0.002980471
Support Vector Machine (SVC),Decision Function Shape: ovo,0.580645161,1,0.612903226,0.323809524,0.183565098,0.002032042
Support Vector Machine (SVC),Decision Function Shape: ovr,0.580645161,1,0.612903226,0.323809524,0.183565098,0.00094676
K-Nearest Neighbor,k= 5 weight=distance,0.548387097,0.935483871,0.612903226,0.328571429,0.154596982,0
Support Vector Machine (LinearSVC),scheme: crammer_singer,0.548387097,1.032258065,0.64516129,0.485714286,0.151784547,0.023957253
K-Nearest Neighbor,k= 9 weight=distance,0.548387097,1.032258065,0.64516129,0.295238095,0.130061907,0
K-Nearest Neighbor,k= 3 weight=distance,0.516129032,1.064516129,0.677419355,0.357142857,0.128659582,0
K-Nearest Neighbor,k= 7 weight=distance,0.548387097,1.225806452,0.709677419,0.361904762,0.199432301,0.000973225
K-Nearest Neighbor,k= 1 weight=uniform,0.548387097,1.419354839,0.774193548,0.357142857,0.128659582,0
K-Nearest Neighbor,k= 1 weight=distance,0.548387097,1.419354839,0.774193548,0.357142857,0.128659582,0
K-Nearest Neighbor,k= 7 weight=uniform,0.451612903,1.322580645,0.806451613,0.385714286,0.125447046,0
K-Nearest Neighbor,k= 5 weight=uniform,0.35483871,1.419354839,0.903225806,0.419047619,0.16673468,0.001003265
K-Nearest Neighbor,k= 9 weight=uniform,0.387096774,1.483870968,0.903225806,0.19047619,0.115666265,0.000808716
K-Nearest Neighbor,k= 3 weight=uniform,0.35483871,1.612903226,0.967741935,0.485714286,0.109212809,0
