name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Support Vector Machine (SVC),Decision Function Shape: ovo,0.388888889,1.277777778,0.833333333,0.238095238,0.13465333,16.88818264
Support Vector Machine (SVC),Decision Function Shape: ovr,0.388888889,1.277777778,0.833333333,0.238095238,0.13465333,18.19227505
Support Vector Machine (LinearSVC),scheme: crammer_singer,0.388888889,1.277777778,0.833333333,0.25047619,0.107353233,1.398153782
Support Vector Machine (LinearSVC),scheme: ovr,0.375,1.375,0.875,0.208571429,0.089158322,2.210003138
K-Nearest Neighbor,k= 3 weight=distance,0.347222222,1.319444444,0.875,0.25047619,0.083168545,0.084994793
Decision Tree Classifier,max_depth= 12,0.388888889,1.444444444,0.888888889,0.222857143,0.100898458,0.035018444
Decision Tree Classifier,max_depth= 14,0.375,1.416666667,0.888888889,0.20952381,0.089137973,0.038015366
K-Nearest Neighbor,k= 5 weight=distance,0.347222222,1.361111111,0.888888889,0.224761905,0.085735447,0.086000681
K-Nearest Neighbor,k= 3 weight=uniform,0.333333333,1.375,0.902777778,0.333333333,0.052164053,0.085046053
K-Nearest Neighbor,k= 7 weight=uniform,0.319444444,1.430555556,0.930555556,0.306666667,0.104397635,0.086052656
K-Nearest Neighbor,k= 9 weight=uniform,0.333333333,1.458333333,0.930555556,0.347619048,0.134821626,0.085999727
K-Nearest Neighbor,k= 7 weight=distance,0.319444444,1.430555556,0.930555556,0.252380952,0.097868439,0.085051537
Decision Tree Classifier,max_depth= 10,0.361111111,1.555555556,0.944444444,0.194285714,0.099267156,0.030029774
K-Nearest Neighbor,k= 9 weight=distance,0.305555556,1.444444444,0.944444444,0.28,0.118738647,0.085989714
Decision Tree Classifier,max_depth= 6,0.361111111,1.597222222,0.958333333,0.221904762,0.101042188,0.020015478
Decision Tree Classifier,max_depth= 16,0.347222222,1.569444444,0.958333333,0.222857143,0.100898458,0.041051626
Decision Tree Classifier,max_depth= 4,0.305555556,1.527777778,0.972222222,0.279047619,0.100772526,0.01501894
K-Nearest Neighbor,k= 1 weight=uniform,0.263888889,1.444444444,0.972222222,0.221904762,0.078280848,0.086009502
K-Nearest Neighbor,k= 5 weight=uniform,0.291666667,1.5,0.972222222,0.279047619,0.10334979,0.085056067
K-Nearest Neighbor,k= 1 weight=distance,0.263888889,1.444444444,0.972222222,0.221904762,0.078280848,0.084949017
Decision Tree Classifier,max_depth= 18,0.347222222,1.652777778,0.986111111,0.222857143,0.100898458,0.044050217
Decision Tree Classifier,max_depth= 8,0.333333333,1.666666667,1,0.222857143,0.069621588,0.026026487
