name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev,timetotrain(fitting)
Decision Tree Classifier,max_depth= 12,0.773103285,0.464429213,0.306074214,0.698177966,0.021352648,0.027997494
Decision Tree Classifier,max_depth= 10,0.768612621,0.471756086,0.311510281,0.699122756,0.014996648,0.02499938
Decision Tree Classifier,max_depth= 14,0.766249114,0.467029071,0.311510281,0.682345422,0.025389384,0.031998634
Decision Tree Classifier,max_depth= 16,0.760576696,0.459938549,0.312928386,0.677380603,0.018804075,0.033998251
Decision Tree Classifier,max_depth= 18,0.757267785,0.467501773,0.317655401,0.6738359,0.022365646,0.035765648
Decision Tree Classifier,max_depth= 8,0.743086741,0.521389742,0.345072087,0.702668018,0.015162781,0.019998074
K-Nearest Neighbor,k= 75 weight=distance,0.720869771,0.581895533,0.380051997,0.630587723,0.013541379,0.080578566
K-Nearest Neighbor,k= 65 weight=distance,0.72063342,0.582840936,0.380524699,0.631532791,0.014921621,0.079321861
K-Nearest Neighbor,k= 71 weight=distance,0.720869771,0.583313637,0.380524699,0.629641817,0.014395779,0.080997229
K-Nearest Neighbor,k= 69 weight=distance,0.720160719,0.58402269,0.381233751,0.629641817,0.015133896,0.081501007
K-Nearest Neighbor,k= 73 weight=distance,0.719924368,0.583549988,0.381233751,0.629169283,0.012694915,0.07958293
K-Nearest Neighbor,k= 67 weight=distance,0.720397069,0.585913496,0.381706452,0.632714266,0.014759911,0.080997944
K-Nearest Neighbor,k= 79 weight=distance,0.719688017,0.584495391,0.381706452,0.628933156,0.012501384,0.10389781
K-Nearest Neighbor,k= 49 weight=distance,0.719215316,0.585677145,0.382415505,0.6367329,0.013164843,0.080625772
K-Nearest Neighbor,k= 85 weight=distance,0.718978965,0.586622548,0.382888206,0.627750285,0.011465644,0.080997944
K-Nearest Neighbor,k= 77 weight=distance,0.719215316,0.588513354,0.383360908,0.630351037,0.011396141,0.080999136
K-Nearest Neighbor,k= 63 weight=distance,0.718033562,0.586858899,0.383597258,0.631298059,0.016389579,0.080998182
K-Nearest Neighbor,k= 47 weight=distance,0.717797211,0.588513354,0.384306311,0.639094733,0.011200455,0.097734213
K-Nearest Neighbor,k= 45 weight=distance,0.71756086,0.588749705,0.384542661,0.639804511,0.012221952,0.083902121
K-Nearest Neighbor,k= 87 weight=distance,0.717797211,0.589222406,0.384542661,0.62727803,0.013418678,0.080475569
K-Nearest Neighbor,k= 83 weight=distance,0.71756086,0.589458757,0.384779012,0.627988367,0.013888366,0.079998255
K-Nearest Neighbor,k= 43 weight=distance,0.716142756,0.5873316,0.385015363,0.639805907,0.011637304,0.081101418
K-Nearest Neighbor,k= 93 weight=distance,0.718033562,0.591113212,0.385015363,0.62538594,0.010529542,0.080000639
K-Nearest Neighbor,k= 81 weight=distance,0.71732451,0.59040416,0.385251714,0.626097393,0.013916836,0.081614017
K-Nearest Neighbor,k= 89 weight=distance,0.71756086,0.591585913,0.385488064,0.625387057,0.012211043,0.080998421
K-Nearest Neighbor,k= 101 weight=distance,0.71756086,0.594422122,0.386433467,0.624440872,0.013442022,0.080998659
K-Nearest Neighbor,k= 103 weight=distance,0.716851808,0.593004018,0.386433467,0.622785746,0.011043843,0.080971718
K-Nearest Neighbor,k= 55 weight=distance,0.716615457,0.594658473,0.387142519,0.63460524,0.01173948,0.085781097
K-Nearest Neighbor,k= 61 weight=distance,0.715670054,0.593476719,0.38737887,0.629878503,0.012241478,0.082156897
K-Nearest Neighbor,k= 91 weight=distance,0.716615457,0.596076578,0.387615221,0.621605109,0.010536485,0.081027269
K-Nearest Neighbor,k= 115 weight=distance,0.717088159,0.597021981,0.387615221,0.619239089,0.011681288,0.080029964
K-Nearest Neighbor,k= 53 weight=distance,0.716615457,0.59678563,0.387851572,0.633659614,0.011545162,0.080480814
K-Nearest Neighbor,k= 105 weight=distance,0.715906405,0.59678563,0.388324273,0.6211309,0.010571648,0.08105135
K-Nearest Neighbor,k= 41 weight=distance,0.713542898,0.592767667,0.388560624,0.636260645,0.015488903,0.081922531
K-Nearest Neighbor,k= 51 weight=distance,0.715433704,0.596549279,0.388560624,0.636022842,0.013599318,0.0796597
K-Nearest Neighbor,k= 57 weight=distance,0.715433704,0.596549279,0.388560624,0.632241732,0.011786291,0.078482151
K-Nearest Neighbor,k= 109 weight=distance,0.716379107,0.599149137,0.388796975,0.619712739,0.010568268,0.080998659
K-Nearest Neighbor,k= 111 weight=distance,0.716379107,0.59985819,0.389033325,0.619949146,0.013600384,0.079168558
K-Nearest Neighbor,k= 117 weight=distance,0.716379107,0.59985819,0.389033325,0.620420843,0.011681302,0.080312252
K-Nearest Neighbor,k= 119 weight=distance,0.716379107,0.59985819,0.389033325,0.618057335,0.012310238,0.081506968
K-Nearest Neighbor,k= 113 weight=distance,0.716142756,0.60009454,0.389269676,0.619004357,0.01170384,0.080387831
K-Nearest Neighbor,k= 35 weight=distance,0.713779248,0.596076578,0.389506027,0.632242569,0.010868529,0.079818249
K-Nearest Neighbor,k= 123 weight=distance,0.716142756,0.600803593,0.389506027,0.614984328,0.012278721,0.080380678
K-Nearest Neighbor,k= 31 weight=distance,0.713542898,0.596312928,0.389742378,0.630824409,0.012788241,0.0814116
K-Nearest Neighbor,k= 39 weight=distance,0.712833845,0.594894824,0.389742378,0.632714824,0.013845645,0.086001396
K-Nearest Neighbor,k= 33 weight=distance,0.713779248,0.597494682,0.389978728,0.631534745,0.014735997,0.081003904
K-Nearest Neighbor,k= 97 weight=distance,0.715670054,0.601276294,0.389978728,0.626332125,0.009937162,0.081052303
K-Nearest Neighbor,k= 99 weight=distance,0.715433704,0.600803593,0.389978728,0.624676441,0.0107714,0.080011845
K-Nearest Neighbor,k= 107 weight=distance,0.715433704,0.600803593,0.389978728,0.620658366,0.011847128,0.079410315
K-Nearest Neighbor,k= 29 weight=distance,0.714015599,0.598676436,0.390215079,0.631061095,0.016980756,0.079035759
K-Nearest Neighbor,k= 59 weight=distance,0.714961002,0.600567242,0.390215079,0.6331868,0.013544426,0.080999613
K-Nearest Neighbor,k= 95 weight=distance,0.714015599,0.600803593,0.390924131,0.624913964,0.009031641,0.080989361
K-Nearest Neighbor,k= 121 weight=distance,0.715433704,0.603639801,0.390924131,0.617583963,0.01262655,0.080034256
K-Nearest Neighbor,k= 37 weight=distance,0.712597495,0.599385488,0.391396833,0.631769477,0.011463085,0.080451965
K-Nearest Neighbor,k= 27 weight=distance,0.712361144,0.599621839,0.391633184,0.629641817,0.010080176,0.079274416
K-Nearest Neighbor,k= 25 weight=distance,0.709761286,0.604348854,0.394942094,0.630824688,0.011017979,0.079445362
K-Nearest Neighbor,k= 23 weight=distance,0.707634129,0.600803593,0.395178445,0.629880178,0.013282548,0.081998348
K-Nearest Neighbor,k= 17 weight=distance,0.707397778,0.606003309,0.397069251,0.627279426,0.010602902,0.078649282
K-Nearest Neighbor,k= 21 weight=distance,0.706688726,0.60954857,0.398723706,0.625861824,0.012040157,0.07948041
Decision Tree Classifier,max_depth= 6,0.701016308,0.601039943,0.399669109,0.679267112,0.018370695,0.016999006
K-Nearest Neighbor,k= 19 weight=distance,0.706688726,0.612384779,0.399669109,0.628933993,0.013974364,0.081998587
K-Nearest Neighbor,k= 13 weight=distance,0.704325219,0.609784921,0.400378161,0.617353697,0.014919149,0.079998732
K-Nearest Neighbor,k= 15 weight=distance,0.702434413,0.619475301,0.404868825,0.6227877,0.014771994,0.082275629
K-Nearest Neighbor,k= 11 weight=distance,0.700779957,0.621129757,0.406523281,0.611919136,0.015928447,0.079396009
Support Vector Machine (LinearSVC),scheme: crammer_singer,0.700543607,0.62845663,0.409123139,0.699600035,0.010607852,0.898033857
Support Vector Machine (SVC),Decision Function Shape: ovo,0.697234696,0.63814701,0.414559206,0.696054773,0.010066575,11.32675505
Support Vector Machine (SVC),Decision Function Shape: ovr,0.697234696,0.63814701,0.414559206,0.696054773,0.010066575,11.28010607
Support Vector Machine (LinearSVC),scheme: ovr,0.671708816,0.6665091,0.441030489,0.664617158,0.007649495,1.891011238
K-Nearest Neighbor,k= 49 weight=uniform,0.671472465,0.69510754,0.45072087,0.611206846,0.009319225,0.085461617
