name,subname,accuracy,rmse,mae,crossval_accuracy,crossval_accuracy_stnd_dev
Support Vector Machine,linear,0.4827586206896552,1.1379310344827587,0.7241379310344828,0.7110508932664008,0.0016643748341575895
Decision Tree Classifier,max_depth= 2,0.3793103448275862,1.5517241379310345,0.9310344827586207,0.6933333333333334,0.1902045682358281
K-Nearest Neighbor,k= 1,0.27586206896551724,1.8620689655172413,1.103448275862069,0.5800000000000001,0.21354156504062624
K-Nearest Neighbor,k= 3,0.3448275862068966,1.4827586206896552,0.9310344827586207,0.62,0.1240071682515885
K-Nearest Neighbor,k= 5,0.3448275862068966,1.4827586206896552,0.9310344827586207,0.58,0.11075498483890764
K-Nearest Neighbor,k= 7,0.3103448275862069,1.6206896551724137,1.0,0.3466666666666667,0.026666666666666682
K-Nearest Neighbor,k= 9,0.3793103448275862,1.4482758620689655,0.896551724137931,0.4133333333333333,0.16679994670929071
K-Nearest Neighbor,k= 11,0.4482758620689655,1.4827586206896552,0.8620689655172413,0.35333333333333333,0.1746106780494506
K-Nearest Neighbor,k= 13,0.3793103448275862,1.5517241379310345,0.9310344827586207,0.35333333333333333,0.139204086785474
K-Nearest Neighbor,k= 15,0.3793103448275862,1.5517241379310345,0.9310344827586207,0.3466666666666667,0.026666666666666682
K-Nearest Neighbor,k= 17,0.3793103448275862,1.5517241379310345,0.9310344827586207,0.3466666666666667,0.026666666666666682
K-Nearest Neighbor,k= 19,0.3793103448275862,1.5517241379310345,0.9310344827586207,0.38,0.06531972647421809
Naive Bayes Classifier,N/A,0.5172413793103449,1.0,0.6551724137931034,0.6892402141525327,0.0015675854482917815
