gender,age,height,weight,bmi,tummy,hip,breast,baselayersize,jerseysize,bibsize
2,29,160.0,56.0,21.9,2,1,3,2,2,2
1,29,178.0,72.5,22.9,2,2,2,5,5,7
1,29,183.0,85.0,25.4,1,2,2,6,7,8
1,29,189.0,81.0,22.7,2,2,2,5,5,8
1,29,180.0,75.0,23.1,1,1,3,6,7,7
1,29,180.0,80.0,24.7,2,3,3,6,5,7
1,29,179.8,65.7,20.3,1,2,2,4,4,5
2,29,166.0,58.0,21.0,1,3,2,2,2,3
2,29,173.0,64.0,21.4,2,2,2,3,3,4
1,29,172.0,77.0,26.0,3,2,2,5,5,6
2,29,172.0,59.0,19.9,2,2,1,2,2,3
2,29,178.4,62.5,19.6,1,2,1,3,3,3
1,29,190.0,85.0,23.5,1,2,2,6,7,8
2,29,177.0,83.0,26.5,2,3,3,5,6,7
2,29,172.0,58.0,19.6,1,2,1,2,2,4
1,29,175.0,75.0,24.5,2,2,3,5,5,7
2,29,160.0,63.0,24.6,2,2,3,3,3,3
1,25,150.0,63.0,28.0,2,2,2,5,5,3
2,72,156.0,69.0,28.4,2,3,2,4,5,3
1,58,164.0,67.0,24.9,2,1,2,4,5,5
2,23,169.0,69.0,24.2,2,1,2,4,5,4
2,18,178.0,70.0,22.1,1,2,2,4,5,5
2,29,168.0,90.0,31.9,3,3,3,6,7,7
1,72,191.0,75.0,20.6,3,1,1,5,5,7
1,23,151.0,69.0,30.3,3,3,3,6,5,4
2,70,158.0,69.0,27.6,3,2,3,4,4,4
1,46,190.0,77.0,21.3,3,2,2,5,4,7
1,57,200.0,66.0,16.5,1,2,2,6,5,6
2,67,160.0,76.0,29.7,2,3,3,5,6,5
1,41,197.0,61.0,15.7,2,1,1,5,4,5
1,35,173.0,77.0,25.7,3,3,2,5,4,7
2,44,160.0,66.0,25.8,3,2,3,3,3,4
2,55,187.0,86.0,24.6,3,2,3,5,5,7
1,59,145.0,54.0,25.7,2,3,2,3,2,2
1,73,154.0,61.0,25.7,3,2,3,4,3,4
1,31,208.0,70.0,16.2,2,2,2,6,5,7
2,46,185.0,67.0,19.6,2,2,3,4,3,5
1,35,168.0,83.0,29.4,2,2,3,7,7,7
2,68,182.0,50.0,15.1,1,2,1,2,1,2
1,64,186.0,68.0,19.7,3,3,2,4,2,6
2,28,173.0,61.0,20.4,3,1,1,2,2,3
1,31,186.0,58.0,16.8,2,2,1,4,2,4
2,73,169.0,63.0,22.1,1,2,2,3,4,4
2,48,177.0,59.0,18.8,1,2,1,2,2,3
1,45,178.0,53.0,16.7,2,1,1,3,1,4
1,41,185.0,57.0,16.7,1,2,2,4,3,4
2,73,169.0,59.0,20.7,2,2,1,2,2,3
2,74,174.0,80.0,26.4,2,3,3,5,5,6
1,26,197.0,81.0,20.9,2,1,3,6,6,8
2,28,205.0,66.0,15.7,2,2,1,5,4,5
2,39,194.0,78.0,20.7,2,3,3,5,4,7
2,33,167.0,81.0,29.0,3,3,2,5,5,6
