gender,age,height,weight,bmi,tummy,hip,breast
2,21,209,110,25.2,2,3,2
1,25,150,63,28.0,2,2,2
2,72,156,69,28.4,2,3,2
1,58,164,67,24.9,2,1,2
2,21,202,110,27.0,2,3,3
2,23,169,69,24.2,2,1,2
2,18,178,70,22.1,1,2,2
2,29,168,90,31.9,3,3,3
1,72,191,75,20.6,3,1,1
1,23,151,69,30.3,3,3,3
1,23,195,111,29.2,3,2,2
1,35,184,96,28.4,2,3,3
1,40,194,116,30.8,3,2,3
2,70,158,69,27.6,3,2,3
1,46,190,77,21.3,3,2,2
1,57,200,66,16.5,1,2,2
2,67,160,76,29.7,2,3,3
1,41,197,61,15.7,2,1,1
1,49,182,92,27.8,3,2,2
1,35,173,77,25.7,3,3,2
1,73,148,47,21.5,1,3,1
2,44,160,66,25.8,3,2,3
2,55,187,86,24.6,3,2,3
2,58,205,114,27.1,3,2,2
1,59,145,54,25.7,2,3,2
1,68,206,87,20.5,3,3,1
1,73,154,61,25.7,3,2,3
1,46,200,119,29.8,2,3,2
1,31,208,70,16.2,2,2,2
1,56,201,98,24.3,1,3,2
2,75,206,118,27.8,3,3,2
2,46,185,67,19.6,2,2,3
1,35,168,83,29.4,2,2,3
2,68,182,50,15.1,1,2,1
1,64,186,68,19.7,3,3,2
2,28,173,61,20.4,3,1,1
1,31,186,58,16.8,2,2,1
2,73,169,63,22.1,1,2,2
2,48,177,59,18.8,1,2,1
1,45,178,53,16.7,2,1,1
1,63,194,110,29.2,3,2,3
1,28,191,90,24.7,3,2,2
2,62,202,108,26.5,2,3,3
1,41,185,57,16.7,1,2,2
2,54,206,102,24.0,3,3,1
2,73,169,59,20.7,2,2,1
2,74,174,80,26.4,2,3,3
2,62,210,95,21.5,2,3,2
2,26,208,116,26.8,2,3,2
1,26,197,81,20.9,2,1,3
2,66,195,120,31.6,2,2,2
2,41,194,96,25.5,2,2,3
2,28,205,66,15.7,2,2,1
2,39,194,78,20.7,2,3,3
2,23,211,90,20.2,3,2,2
2,35,189,111,31.1,3,3,2
1,27,187,111,31.7,2,3,3
2,33,167,81,29.0,3,3,2
2,20,157,67,27.2,2,3,3
2,71,193,66,17.7,1,2,2
2,64,185,58,16.9,1,2,2
2,63,161,43,16.6,2,2,2
2,53,196,101,26.3,3,2,3
1,60,198,69,17.6,2,2,2
1,47,180,70,21.6,2,2,1
2,55,145,49,23.3,2,3,3
2,54,164,59,21.9,1,1,2
1,67,161,53,20.4,2,2,3
2,36,205,68,16.2,2,2,1
2,66,145,55,26.2,2,3,3
2,46,182,86,26.0,3,3,2
2,38,207,75,17.5,2,1,1
1,23,154,49,20.7,1,1,3
1,55,202,77,18.9,2,1,2
2,42,173,84,28.1,2,3,3
2,26,170,62,21.5,2,3,2
2,33,201,127,31.4,2,2,3
2,49,174,59,19.5,1,1,2
1,47,209,66,15.1,2,1,2
1,72,202,110,27.0,3,3,3
2,51,206,73,17.2,1,2,1
2,45,209,106,24.3,2,1,1
1,75,174,97,32.0,3,2,2
2,68,207,96,22.4,2,2,1
1,63,188,92,26.0,3,3,2
1,46,187,110,31.5,3,3,3
1,75,210,111,25.2,2,3,3
2,44,200,92,23.0,3,2,1
2,24,197,87,22.4,2,1,3
2,42,210,73,16.6,1,1,1
2,38,166,60,21.8,3,1,2
1,73,198,103,26.3,2,3,2
1,37,154,71,29.9,2,2,3
2,67,194,82,21.8,2,3,1
2,49,200,78,19.5,1,2,1
2,62,175,76,24.8,2,2,3
2,43,168,77,27.3,2,2,2
2,48,210,123,27.9,3,2,3
2,56,204,95,22.8,1,2,1
2,51,194,98,26.0,2,2,2
